dataset,image,k,n_bits_written,MSE,PSNR,SSIM
BOSS,92.bmp,3,256000,7.8041,39.2076,0.9188
BOSS,93.bmp,1,256000,0.4883,51.2435,0.9955
BOSS,93.bmp,2,256000,1.9531,45.2236,0.983
BOSS,93.bmp,3,256000,7.7971,39.2115,0.9458
BOSS,94.bmp,1,256000,0.487,51.2552,0.9961
BOSS,94.bmp,2,256000,1.9503,45.2298,0.9854
BOSS,94.bmp,3,256000,7.8321,39.192,0.9494
BOSS,95.bmp,1,256000,0.4883,51.2442,0.9956
BOSS,95.bmp,2,256000,1.9528,45.2243,0.983
BOSS,95.bmp,3,256000,7.8186,39.1995,0.9388
BOSS,96.bmp,1,256000,0.4887,51.2402,0.9973
BOSS,96.bmp,2,256000,1.9509,45.2285,0.9897
BOSS,96.bmp,3,256000,7.8285,39.194,0.9626
BOSS,97.bmp,1,256000,0.4864,51.2605,0.9959
BOSS,97.bmp,2,256000,1.9516,45.227,0.9841
BOSS,97.bmp,3,256000,7.8338,39.1911,0.9418
BOSS,98.bmp,1,256000,0.4869,51.2566,0.9959
BOSS,98.bmp,2,256000,1.9457,45.24,0.9842
BOSS,98.bmp,3,256000,7.7985,39.2107,0.9425
BOSS,99.bmp,1,256000,0.4894,51.2341,0.9974
BOSS,99.bmp,2,256000,1.95,45.2304,0.9902
BOSS,99.bmp,3,256000,7.8276,39.1945,0.9644
MED,person16_virus_47.bmp,1,256000,0.4879,51.2478,0.9963
MED,person16_virus_47.bmp,2,256000,1.9554,45.2186,0.9855
MED,person16_virus_47.bmp,3,256000,7.814,39.2021,0.9453
MED,person17_virus_48.bmp,1,256000,0.4892,51.2361,0.9951
MED,person17_virus_48.bmp,2,256000,1.9526,45.2246,0.9808
MED,person17_virus_48.bmp,3,256000,7.8107,39.2039,0.9297
MED,person18_virus_49.bmp,1,256000,0.4878,51.2486,0.9928
MED,person18_virus_49.bmp,2,256000,1.9552,45.2189,0.9728
MED,person18_virus_49.bmp,3,256000,7.8109,39.2038,0.9111
MED,person19_virus_50.bmp,1,256000,0.4879,51.2471,0.992
MED,person19_virus_50.bmp,2,256000,1.9502,45.2299,0.9701
MED,person19_virus_50.bmp,3,256000,7.8134,39.2024,0.9039
MED,person20_virus_51.bmp,1,256000,0.4899,51.2297,0.9956
MED,person20_virus_51.bmp,2,256000,1.9462,45.239,0.9827
MED,person20_virus_51.bmp,3,256000,7.8087,39.205,0.9362
MED,person21_virus_52.bmp,1,256000,0.4865,51.2604,0.9945
MED,person21_virus_52.bmp,2,256000,1.95,45.2305,0.9783
MED,person21_virus_52.bmp,3,256000,7.78,39.221,0.9221
MED,person21_virus_53.bmp,1,256000,0.4886,51.2411,0.9943
MED,person21_virus_53.bmp,2,256000,1.9549,45.2195,0.9779
MED,person21_virus_53.bmp,3,256000,7.8277,39.1945,0.9227
MED,person22_virus_55.bmp,1,256000,0.4876,51.2499,0.9949
MED,person22_virus_55.bmp,2,256000,1.947,45.2372,0.9799
MED,person22_virus_55.bmp,3,256000,7.8452,39.1848,0.9272
MED,person23_virus_56.bmp,1,256000,0.4872,51.2541,0.9911
MED,person23_virus_56.bmp,2,256000,1.9581,45.2125,0.9666
MED,person23_virus_56.bmp,3,256000,7.822,39.1976,0.8916
MED,person25_virus_59.bmp,1,256000,0.4876,51.2503,0.9922
MED,person25_virus_59.bmp,2,256000,1.9551,45.2192,0.9701
MED,person25_virus_59.bmp,3,256000,7.8026,39.2084,0.9006
MED,person26_virus_60.bmp,1,256000,0.4897,51.2311,0.9936
MED,person26_virus_60.bmp,2,256000,1.9495,45.2317,0.9755
MED,person26_virus_60.bmp,3,256000,7.8063,39.2063,0.9156
MED,person28_virus_63.bmp,1,256000,0.4888,51.2394,0.9926
MED,person28_virus_63.bmp,2,256000,1.951,45.2282,0.9721
MED,person28_virus_63.bmp,3,256000,7.8268,39.1949,0.9079
MED,person29_virus_64.bmp,1,256000,0.4874,51.2521,0.9924
MED,person29_virus_64.bmp,2,256000,1.9469,45.2373,0.9709
MED,person29_virus_64.bmp,3,256000,7.8182,39.1997,0.9017
MED,person30_virus_69.bmp,1,256000,0.4882,51.2448,0.9951
MED,person30_virus_69.bmp,2,256000,1.952,45.2259,0.9807
MED,person30_virus_69.bmp,3,256000,7.817,39.2004,0.9292
MED,person31_virus_70.bmp,1,256000,0.4873,51.2531,0.9941
MED,person31_virus_70.bmp,2,256000,1.9529,45.224,0.9768
MED,person31_virus_70.bmp,3,256000,7.7927,39.2139,0.9172
MED,person32_virus_71.bmp,1,256000,0.4879,51.2479,0.9929
MED,person32_virus_71.bmp,2,256000,1.9518,45.2264,0.9731
MED,person32_virus_71.bmp,3,256000,7.8095,39.2046,0.9096
MED,person33_virus_72.bmp,1,256000,0.4883,51.2438,0.9911
MED,person33_virus_72.bmp,2,256000,1.955,45.2194,0.9663
MED,person33_virus_72.bmp,3,256000,7.8097,39.2045,0.889
MED,person34_virus_76.bmp,1,256000,0.4887,51.2407,0.9953
MED,person34_virus_76.bmp,2,256000,1.9484,45.234,0.9816
MED,person34_virus_76.bmp,3,256000,7.847,39.1838,0.932
MED,person35_virus_80.bmp,1,256000,0.4883,51.2441,0.9916
MED,person35_virus_80.bmp,2,256000,1.9498,45.2309,0.9685
MED,person35_virus_80.bmp,3,256000,7.824,39.1965,0.8973
MED,person36_virus_81.bmp,1,256000,0.4891,51.2367,0.9905
MED,person36_virus_81.bmp,2,256000,1.956,45.2171,0.9642
MED,person36_virus_81.bmp,3,256000,7.8188,39.1994,0.8856
MED,person37_virus_82.bmp,1,256000,0.4879,51.2479,0.9936
MED,person37_virus_82.bmp,2,256000,1.9532,45.2234,0.9756
MED,person37_virus_82.bmp,3,256000,7.8339,39.191,0.9161
MED,person38_virus_83.bmp,1,256000,0.4859,51.265,0.9937
MED,person38_virus_83.bmp,2,256000,1.9508,45.2287,0.9752
MED,person38_virus_83.bmp,3,256000,7.7939,39.2132,0.9151
MED,person38_virus_84.bmp,1,256000,0.489,51.2375,0.9909
MED,person38_virus_84.bmp,2,256000,1.9496,45.2313,0.9662
MED,person38_virus_84.bmp,3,256000,7.8265,39.1951,0.8925
MED,person40_virus_87.bmp,1,256000,0.4878,51.2483,0.992
MED,person40_virus_87.bmp,2,256000,1.951,45.2283,0.9696
MED,person40_virus_87.bmp,3,256000,7.8204,39.1985,0.8993
MED,person41_virus_88.bmp,1,256000,0.4863,51.2616,0.9941
MED,person41_virus_88.bmp,2,256000,1.9495,45.2317,0.977
MED,person41_virus_88.bmp,3,256000,7.8171,39.2004,0.9206
MED,person42_virus_89.bmp,1,256000,0.488,51.2469,0.992
MED,person42_virus_89.bmp,2,256000,1.9502,45.2301,0.9697
MED,person42_virus_89.bmp,3,256000,7.7944,39.213,0.8998
MED,person43_virus_92.bmp,1,256000,0.4868,51.257,0.9934
MED,person43_virus_92.bmp,2,256000,1.9523,45.2252,0.9747
MED,person43_virus_92.bmp,3,256000,7.8245,39.1963,0.9136
MED,person44_virus_93.bmp,1,256000,0.4877,51.2493,0.9953
MED,person44_virus_93.bmp,2,256000,1.9529,45.224,0.9815
MED,person44_virus_93.bmp,3,256000,7.8358,39.19,0.9336
MED,person44_virus_94.bmp,1,256000,0.4896,51.2323,0.9931
MED,person44_virus_94.bmp,2,256000,1.9538,45.222,0.9736
MED,person44_virus_94.bmp,3,256000,7.8113,39.2035,0.9114
MED,person45_virus_95.bmp,1,256000,0.4863,51.262,0.9919
MED,person45_virus_95.bmp,2,256000,1.9561,45.2169,0.9695
MED,person45_virus_95.bmp,3,256000,7.8081,39.2053,0.9007
MED,person46_virus_96.bmp,1,256000,0.4883,51.2443,0.992
MED,person46_virus_96.bmp,2,256000,1.9562,45.2167,0.9699
MED,person46_virus_96.bmp,3,256000,7.8118,39.2033,0.9004
MED,person47_virus_99.bmp,1,256000,0.4864,51.2607,0.9912
MED,person47_virus_99.bmp,2,256000,1.9498,45.2309,0.9669
MED,person47_virus_99.bmp,3,256000,7.7983,39.2108,0.8928
MED,person48_virus_100.bmp,1,256000,0.4883,51.2436,0.9945
MED,person48_virus_100.bmp,2,256000,1.9561,45.217,0.9785
MED,person48_virus_100.bmp,3,256000,7.8104,39.2041,0.9242
MED,person49_virus_101.bmp,1,256000,0.4887,51.2402,0.9936
MED,person49_virus_101.bmp,2,256000,1.9511,45.228,0.9755
MED,person49_virus_101.bmp,3,256000,7.8103,39.2041,0.9152
MED,person50_virus_102.bmp,1,256000,0.4885,51.2422,0.9926
MED,person50_virus_102.bmp,2,256000,1.9575,45.2137,0.972
MED,person50_virus_102.bmp,3,256000,7.8234,39.1968,0.9044
MED,person51_virus_105.bmp,1,256000,0.4879,51.2471,0.9951
MED,person51_virus_105.bmp,2,256000,1.957,45.2148,0.9807
MED,person51_virus_105.bmp,3,256000,7.8353,39.1902,0.9285
MED,person52_virus_106.bmp,1,256000,0.4884,51.2426,0.9943
MED,person52_virus_106.bmp,2,256000,1.9533,45.2232,0.9779
MED,person52_virus_106.bmp,3,256000,7.8015,39.209,0.9207
MED,person53_virus_107.bmp,1,256000,0.4878,51.248,0.9928
MED,person53_virus_107.bmp,2,256000,1.9563,45.2165,0.9722
MED,person53_virus_107.bmp,3,256000,7.8234,39.1968,0.9049
MED,person53_virus_108.bmp,1,256000,0.4884,51.2428,0.9941
MED,person53_virus_108.bmp,2,256000,1.9589,45.2106,0.9773
MED,person53_virus_108.bmp,3,256000,7.784,39.2188,0.9211
MED,person54_virus_109.bmp,1,256000,0.4879,51.2471,0.9949
MED,person54_virus_109.bmp,2,256000,1.9579,45.213,0.9799
MED,person54_virus_109.bmp,3,256000,7.8209,39.1983,0.9264
MED,person55_virus_110.bmp,1,256000,0.489,51.2381,0.9943
MED,person55_virus_110.bmp,2,256000,1.9553,45.2187,0.978
MED,person55_virus_110.bmp,3,256000,7.8011,39.2093,0.923
MED,person56_virus_112.bmp,1,256000,0.4865,51.2598,0.9934
MED,person56_virus_112.bmp,2,256000,1.948,45.2348,0.9746
MED,person56_virus_112.bmp,3,256000,7.8137,39.2022,0.9098
MED,person59_virus_116.bmp,1,256000,0.4887,51.2401,0.9913
MED,person59_virus_116.bmp,2,256000,1.9535,45.2227,0.9672
MED,person59_virus_116.bmp,3,256000,7.8122,39.2031,0.8917
MED,person60_virus_117.bmp,1,256000,0.4884,51.2426,0.9954
MED,person60_virus_117.bmp,2,256000,1.9583,45.212,0.9818
MED,person60_virus_117.bmp,3,256000,7.7969,39.2116,0.9324
MED,person61_virus_118.bmp,1,256000,0.4874,51.2516,0.9935
MED,person61_virus_118.bmp,2,256000,1.954,45.2215,0.9752
